ID,Value1,Value2,Value3,OrderField,Active
1317,Wrangwortel,Helleborus viridis L.,5797,,1
1318,Zaagblad,Serratula tinctoria L.,7624,,1
1319,Zacht vetkruid,Sedum sexangulare L.,7587,,1
1320,Zachte berk,Betula alba L.,4428,,1
1321,Zachte dravik,Bromus hordeaceus L.,4497,,1
1322,Zachte duizendknoop,Polygonum mite Schrank,6926,,1
1323,Zachte haver,Avenula pubescens (Huds.) Dum.,4381,,1
1324,Zachte ooievaarsbek,Geranium molle L.,5697,,1
1325,Zachte wikke,Vicia villosa Roth,8222,,1
1326,Zandambrosia,Ambrosia coronopifolia Torr. et A. Gray,4100,,1
1327,Zandblauwtje,Jasione montana L.,5971,,1
1328,Zanddoddengras,Phleum arenarium L.,6762,,1
1329,Zandduizendknoop,Polygonum oxyspermum C.A. Mey. et Bunge,6928,,1
1330,Zandhaver,Elymus arenarius (L.) Hochst.,5339,,1
1331,Zandhoornbloem,Cerastium semidecandrum L.,4828,,1
1332,Zandmuur,Arenaria serpyllifolia L.,4231,,1
1333,Zandraket,Arabidopsis thaliana (L.) Heynh.,4203,,1
1334,Zandstruisgras,Agrostis vinealis Schreb.,3983,,1
1335,Zandzegge,Carex arenaria L.,4666,,1
1336,Zannichellia,Zannichellia palustris L.,8291,,1
1337,Zeealsem,Artemisia maritima L.,4270,,1
1338,Zeegerst,Hordeum marinum Huds.,5874,,1
1339,Zeegroene ganzenvoet,Chenopodium glaucum L.,4872,,1
1340,Zeegroene muur,Stellaria palustris Retz.,7838,,1
1341,Zeegroene rus,Juncus inflexus L.,6001,,1
1342,Zeegroene zegge,Carex flacca Schreb.,4694,,1
1343,Zeekool,Crambe maritima L.,5056,,1
1344,Zeekraal,Salicornia 'europaea' groep,7381,,1
1345,Zeelathyrus,Lathyrus japonicus Willd. subsp. maritim,6071,,1
1346,Zeepkruid,Saponaria officinalis L.,7484,,1
1347,Zeepostelein,Honckenya peploides (L.) Ehrh.,5867,,1
1348,Zeeraket,Cakile maritima Scop.,4549,,1
1349,Zeerus,Juncus maritimus Lam.,6002,,1
1350,Zeevenkel,Crithmum maritimum L.,5083,,1
1351,Zeevetmuur,Sagina maritima G. Don,7373,,1
1352,Zeeweegbree,Plantago maritima L.,6850,,1
1353,Zeewinde,Calystegia soldanella (L.) R. Brown,4594,,1
1354,Zeewolfsmelk,Euphorbia paralias L.,5493,,1
1355,Zegge spec,Carex spec,4730,,1
1356,Zevenblad,Aegopodium podagraria L.,3954,,1
1357,Zevenster,Trientalis europaea L.,8000,,1
1358,Zilt torkruid,Oenanthe lachenalii C.C. Gmel.,6546,,1
1359,Zilte greppelrus,Juncus ambiguus Guss.,5984,,1
1360,Zilte rus,Juncus gerardii Loisel.,6000,,1
1361,Zilte schijnspurrie,Spergularia marina (L.) Besser,7791,,1
1362,Zilte waterranonkel,Ranunculus baudotii Godr.,7116,,1
1363,Zilte zegge,Carex distans L.,4683,,1
1364,Zilverhaver,Aira caryophyllea L.,3990,,1
1365,Zilverschoon,Potentilla anserina L.,6994,,1
1366,Zinkboerenkers (en bosboerenkers),Thlaspi caerulescens J. et C. Presl,7944,,1
1367,Zoete wolfsmelk,Euphorbia dulcis L.,5480,,1
1368,Zomeradonis,Adonis aestivalis L.,3942,,1
1369,Zomeralsem,Artemisia annua L.,4262,,1
1370,Zomerbitterling,Blackstonia perfoliata (L.) Huds.,4450,,1
1371,Zomereik,Quercus robur L.,7101,,1
1372,Zomerklokje,Leucojum aestivum L.,6130,,1
1373,Zomerlinde,Tilia 'platyphyllos' groep,7963,,1
1374,Zomerschroeforchis,Spiranthes aestivalis (Poiret) L.C.M. Ri,7809,,1
1375,Zomprus,Juncus articulatus L.,5982,,1
1376,Zompvergeet-mij-nietje,Myosotis cespitosa C.F. Schultz,6460,,1
1377,Zompzegge,Carex canescens L.,4674,,1
1378,Zuid-Afrikaanse gierst,Panicum schinzii Hack.,6667,,1
1379,Zulte,Aster tripolium L.,4327,,1
1380,Zuring species,Rumex species,7354,,1
1381,Zuurbes,Berberis vulgaris L.,4414,,1
1382,Zwaluwtong,Fallopia convolvulus (L.) µ. L”ve,6915,,1
1383,Zwanebloem,Butomus umbellatus L.,4545,,1
1384,Zwart tandzaad,Bidens frondosa L.,4437,,1
1385,Zwartblauwe rapunzel,Phyteuma nigrum F.W. Schmidt,6796,,1
1386,Zwarte bes,Ribes nigrum L.,7194,,1
1387,Zwarte dreps,Bromus grossus Desf. ex DC.,4496,,1
1388,Zwarte els,Alnus glutinosa (L.) Gaertn.,4034,,1
1389,Zwarte mosterd,Brassica nigra (L.) Koch,4473,,1
1390,Zwarte nachtschade s.l.,Solanum nigrum L.,7720,,1
1391,Zwarte populier,Populus nigra L. var. nigra,6958,,1
1392,Zwarte toorts,Verbascum nigrum L.,8136,,1
1393,Walnoot,Juglans regia L.,5978,,1
1394,Zwarte walnoot,Juglans nigra,5977,,1
1395,Zwarte zegge,Carex nigra (L.) Reichard,4708,,1
1396,Zwartsteel,Asplenium adiantum-nigrum L.,4299,,1
1397,Zwenkdravik,Bromus tectorum L.,4520,,1
1398,Veenmos spec,Spaghnum spec,889,,1
1399,Sterrekroos spec,Callitriche spec,4581,,1
1400,Struisgras spec,Agrostis spec,3980,,1
1401,Veldbies spec,Luzula spec,6246,,1
1402,Elsbes,Sorbus torminalis L.,7765,,1
1403,Zaailing naaldhout spec,Softwood species,,,1
1404,Zwenkgras spec,Festuca spec,5557,,1
1405,Witte esdoorn,Acer saccharinum,3916,,1
1406,Duizendknoop spec,Polygonum spec,6932,,1
1407,Hertshooi spec,Hypericum spec,5913,,1
1408,Laurierkers,Prunus laurocerasus L.,7034,,1
1409,Bosvogelmelk,Ornithogalum pyrenaicum L.,6607,,1
1410,Liguster species,Ligustrum spec,6138,,1
1411,Kruiskruid spec,Senecio spec,,,1
1412,Bermzegge spec,,,,1
1413,Steeneik,,,,1
