plot_id	year	period	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc
850	2005	1	3	3458.1814795276	7230.74309355771	NA
851	2005	1	7	22006.6094151757	40240.6572163212	NA
852	2005	1	4	3772.56161403011	7545.12322806022	NA
853	2005	1	3	15090.2464561204	28922.9723742309	NA
854	2005	1	2	1414.71060526129	1414.71060526129	NA
855	2005	1	7	140213.539988119	1280155.90769422	NA
856	2005	1	5	47785.7804443814	79852.5541636374	NA
857	2005	1	3	4401.32188303513	6916.36295905521	NA
858	2005	1	4	72307.4309355772	645108.035999149	NA
859	2005	1	6	74822.4720115972	649509.357882184	NA
860	2005	1	6	29237.3525087334	55016.5235379391	NA
861	2005	1	5	10846.1146403366	18391.2378683968	NA
862	2005	1	2	7545.12322806022	13203.9656491054	NA
863	2005	1	4	128424.284944275	1260821.52942231	NA
864	2005	1	4	78123.4634238736	657211.671177496	NA
865	2005	1	5	32223.9637865072	46685.4499736226	NA
866	2005	1	8	77809.0832893711	653124.729428963	NA
867	2005	1	4	69163.6295905521	638820.433309099	NA
868	2005	1	5	80638.5044998937	663499.273867546	NA
869	2005	1	5	79538.1740291349	660512.662589772	NA
870	2005	1	6	80324.1243653911	661298.612926028	NA
871	2005	1	5	76079.9925496073	651395.638689199	NA
872	2005	1	3	8959.83383332152	16504.9570613817	NA
873	2005	1	7	62404.4566987481	106417.675529099	NA
874	2005	1	3	27665.4518362208	41498.1777543312	NA
875	2005	1	5	51401.1519911603	85354.2065174313	NA
876	2005	1	1	628.760269005019	628.760269005019	NA
877	2005	1	5	7859.50336256273	16033.386859628	NA
878	2005	1	6	107046.435798104	698709.848931827	NA
879	2005	1	1	785.950336256273	785.950336256273	NA
880	2005	1	4	6444.79275730144	10846.1146403366	NA
881	2005	1	4	4244.13181578388	9902.97423682904	NA
882	2005	1	3	2829.42121052258	2829.42121052258	NA
883	2005	1	4	19019.9981374018	33481.4843245172	NA
884	2005	1	5	4401.32188303513	4401.32188303513	NA
885	2005	1	5	136755.358508592	1274811.44540768	NA
886	2005	1	3	5658.84242104517	10060.1643040803	NA
887	2005	1	5	110504.617277632	705940.592025385	NA
889	2005	1	5	136755.358508592	1274811.44540768	NA
890	2005	1	6	89283.9581987127	676546.0494494	NA
888	2006	1	6	18076.8577338943	33795.8644590198	NA
901	2006	1	4	8488.26363156775	14147.1060526129	NA
902	2006	1	4	85511.3965846825	670258.44675935	NA
903	2006	1	6	73879.3316080897	646679.936671662	NA
904	2006	1	3	1886.28080701506	1886.28080701506	NA
905	2006	1	1	628.760269005019	628.760269005019	NA
906	2006	1	4	17290.907397638	32223.9637865072	NA
907	2006	1	5	86140.1568536876	670887.207028355	NA
908	2006	1	4	90227.0986022202	667900.595750581	NA
909	2006	1	4	1729.0907397638	2829.42121052258	NA
910	2006	1	8	33324.294257266	62876.0269005019	NA
911	2006	1	5	5187.2722192914	10846.1146403366	NA
912	2006	1	6	13203.9656491054	23421.3200204369	NA
913	2006	1	6	24050.080289442	43541.6486285975	NA
914	2006	1	3	52187.1023274165	76079.9925496073	NA
915	2006	1	2	39611.8969473162	66019.828245527	NA
916	2006	1	1	628.760269005019	628.760269005019	NA
917	2006	1	6	16976.5272631355	29708.9227104871	NA
918	2006	1	5	14933.0563888692	27351.0717017183	NA
919	2006	1	6	49043.3009823915	83467.9257104162	NA
920	2006	1	5	19177.1882046531	35996.5254005373	NA
921	2006	1	3	5658.84242104517	10060.1643040803	NA
922	2006	1	4	5973.22255554768	10374.5444385828	NA
923	2006	1	2	1886.28080701506	3772.56161403011	NA
925	2006	1	3	3143.80134502509	6916.36295905521	NA
926	2006	1	6	30337.6829794922	58474.7050174667	NA
927	2006	1	3	66019.828245527	635047.871695069	NA
928	2006	1	3	8173.88349706524	14304.2961198642	NA
929	2006	1	6	17605.2875321405	32066.773719256	NA
930	2006	1	8	25779.1710292058	45742.3095701151	NA
931	2006	1	1	1257.52053801004	3143.80134502509	NA
932	2006	1	3	8802.64376607026	16347.7669941305	NA
933	2006	1	5	45899.4996373664	77966.2733566223	NA
934	2006	1	5	46213.8797718689	76865.9428858635	NA
935	2006	1	2	3929.75168128137	7073.55302630646	NA
936	2006	1	5	21692.2292806731	43227.268494095	NA
937	2006	1	5	52344.2923946678	88026.4376607026	NA
938	2006	1	1	1414.71060526129	3300.99141227635	NA
939	2006	1	4	6130.41262279893	10531.7345058341	NA
940	2006	1	4	15090.2464561204	28608.5922397284	NA
941	2006	1	3	20749.0888771656	38354.3764093061	NA
942	2006	1	5	9588.59410232653	20434.7087426631	NA
